creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Horacio Espondaburu,1855-09-24T00:00:00Z,1902-09-27T00:00:00Z,Minas,Point(-55.233333333 -34.366666666),"-34.366666666667, -55.233333333333",Montevideo,,"-34.866944444444, -56.166666666667"
Hans von Bartels,1856-12-25T00:00:00Z,1913-10-05T00:00:00Z,Hambourg,Point(10.0 53.55),"53.55, 10",Munich,,"48.133333333333, 11.566666666667"
Ignacio Zuloaga,1870-07-26T00:00:00Z,1945-10-31T00:00:00Z,Eibar,Point(-2.4732748 43.1842839),"43.1842839, -2.4732748",Madrid,,"40.418888888889, -3.6919444444444"
Nikolaï Kochelev,1840-05-03T00:00:00Z,1918-01-01T00:00:00Z,gouvernorat de Penza,Point(45.0 53.2),"53.2, 45",Saint-Pétersbourg,,"59.95, 30.316666666667"
Amélie Beaury-Saurel,1848-12-19T00:00:00Z,1924-05-30T00:00:00Z,Barcelone,Point(2.176944444 41.3825),"41.3825, 2.1769444444444",Paris,,"48.856577777778, 2.3518277777778"
Louise Begas-Parmentier,1848-04-15T00:00:00Z,1920-02-11T00:00:00Z,Vienne,Point(16.373064 48.20833),"48.20833, 16.373064",Berlin,,"52.516666666667, 13.383333333333"
Otto Hupp,1859-05-21T00:00:00Z,1949-01-31T00:00:00Z,Düsseldorf,Point(6.816666666 51.216666666),"51.216666666667, 6.8166666666667",Oberschleißheim,,"48.25, 11.566666666667"
Manuel María Paz,1820-07-06T00:00:00Z,1902-09-16T00:00:00Z,Almaguer,Point(-76.856111111 1.913055555),"1.9130555555556, -76.856111111111",Bogota,,"4.5988888888889, -74.080833333333"
Oskar Schlemmer,1888-09-04T00:00:00Z,1943-04-13T00:00:00Z,Stuttgart,Point(9.1775 48.776111111),"48.776111111111, 9.1775",Baden-Baden,,"48.761944444444, 8.2408333333333"
Frances MacDonald,1873-08-24T00:00:00Z,1921-12-12T00:00:00Z,Kidsgrove,Point(-2.2478 53.0874),"53.0874, -2.2478",Glasgow,,"55.87, -4.27"
Constantin Makovski,1839-06-20T00:00:00Z,1915-09-30T00:00:00Z,Moscou,Point(37.617777777 55.755833333),"55.755833333333, 37.617777777778",Saint-Pétersbourg,,"59.95, 30.316666666667"
Eugène Carrière,1849-01-16T00:00:00Z,1906-03-27T00:00:00Z,Gournay-sur-Marne,Point(2.576388888 48.859722222),"48.859722222222, 2.5763888888889",Paris,,"48.856577777778, 2.3518277777778"
Carlos María Herrera,1875-12-18T00:00:00Z,1914-03-28T00:00:00Z,Montevideo,Point(-56.166666666 -34.866944444),"-34.866944444444, -56.166666666667",Montevideo,,"-34.866944444444, -56.166666666667"
Heinrich Johann Michael Ferdinand Hofmann,1824-03-19T00:00:00Z,t588614711,Darmstadt,Point(8.65 49.866666666),"49.866666666667, 8.65",Dresde,,"51.033333333333, 13.733333333333"
Fernand Cormon,1845-12-24T00:00:00Z,1924-03-20T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Anton Stankowski,1906-06-18T00:00:00Z,1998-12-11T00:00:00Z,Gelsenkirchen,Point(7.1 51.516666666),"51.516666666667, 7.1",Esslingen am Neckar,,"48.740555555556, 9.3108333333333"
Otto Eckmann,1865-11-19T00:00:00Z,1902-06-11T00:00:00Z,Hambourg,Point(10.0 53.55),"53.55, 10",Badenweiler,,"47.801666666667, 7.6719444444444"
Pablo Gargallo,1881-01-05T00:00:00Z,1934-12-28T00:00:00Z,Maella,Point(0.139357 41.1221513),"41.1221513, 0.139357",Reus,,"41.15487, 1.10871"
Max Dauthendey,1867-07-25T00:00:00Z,1918-08-29T00:00:00Z,Wurtzbourg,Point(9.929444444 49.794444444),"49.794444444444, 9.9294444444444",Malang,,"-7.98, 112.62"
Wilhelm Trübner,1851-02-03T00:00:00Z,1917-12-21T00:00:00Z,Heidelberg,Point(8.71 49.412222222),"49.412222222222, 8.71",Karlsruhe,,"49.013888888889, 8.4041666666667"
Tatiana Mavrina,1900-12-20T00:00:00Z,1996-08-19T00:00:00Z,Nijni Novgorod,Point(44.0075 56.326944444),"56.326944444444, 44.0075",Moscou,,"55.755833333333, 37.617777777778"
Peter Kien,1919-01-01T00:00:00Z,1944-10-01T00:00:00Z,Varnsdorf,Point(14.618353683 50.911612411),"50.911612411446, 14.618353683386",Auschwitz,,"50.035833, 19.178333"
Heinrich Johann Michael Ferdinand Hofmann,1824-01-01T00:00:00Z,t588614711,Darmstadt,Point(8.65 49.866666666),"49.866666666667, 8.65",Dresde,,"51.033333333333, 13.733333333333"
Margaret Mee,1909-05-22T00:00:00Z,1988-11-30T00:00:00Z,Chesham,Point(-0.602 51.703),"51.703, -0.602",Seagrave,,"52.751666666667, -1.0838888888889"
Kay Sage,1898-06-25T00:00:00Z,1963-01-08T00:00:00Z,New York,Point(-73.94 40.67),"40.67, -73.94",Woodbury,,"41.561944444444, -73.209444444444"
Mihailo Milovanović,1879-02-24T00:00:00Z,1941-11-28T00:00:00Z,Gostinica,Point(19.8503 43.9144),"43.9144, 19.8503",Užice,,"43.85, 19.85"
Olga Khokhlova,1891-06-17T00:00:00Z,1955-02-11T00:00:00Z,Nijyn,Point(31.9 51.05),"51.05, 31.9",Cannes,,"43.5525, 7.0213888888889"
Q419985,1869-10-07T00:00:00Z,1921-05-25T00:00:00Z,Q4522254,Point(31.099722222 49.188333333),"49.188333333333, 31.099722222222",Kiev,,"50.45, 30.523611111111"
Joaquín Agrasot,1836-12-24T00:00:00Z,1919-01-08T00:00:00Z,Orihuela,Point(-0.946944444 38.085555555),"38.085555555556, -0.94694444444444",Valence,,"39.466666666667, -0.375"
Bárbaro Rivas,1893-12-04T00:00:00Z,1967-03-12T00:00:00Z,Petare,Point(-66.81666667 10.48333333),"10.48333333, -66.81666667",Caracas,,"10.5, -66.933333333333"
Consuelo de Saint-Exupéry,1901-04-10T00:00:00Z,1979-05-28T00:00:00Z,Armenia,Point(-89.5 13.75),"13.74444444, -89.5",Grasse,,"43.658055555556, 6.9252777777778"
Consuelo de Saint-Exupéry,1901-04-10T00:00:00Z,1979-05-28T00:00:00Z,Armenia,Point(-89.5 13.75),"13.75, -89.5",Grasse,,"43.658055555556, 6.9252777777778"
Lilla Cabot Perry,1848-01-13T00:00:00Z,1933-02-28T00:00:00Z,Boston,Point(-71.061666666 42.357777777),"42.357777777778, -71.061666666667",New Hampshire,,"44, -71.5"
Saturnino Herrán,1887-07-09T00:00:00Z,1918-10-08T00:00:00Z,Aguascalientes,Point(-102.296111111 21.880833333),"21.880833333333, -102.29611111111",Mexico,,"19.419444444444, -99.145555555556"
Agustín Lazo Adalid,1896-01-01T00:00:00Z,1971-01-28T00:00:00Z,Mexico,Point(-99.145555555 19.419444444),"19.419444444444, -99.145555555556",Mexico,,"19.419444444444, -99.145555555556"
Pedro Victor Florès,1897-02-05T00:00:00Z,1967-01-01T00:00:00Z,Murcie,Point(-1.130277777 37.986111111),"37.986111111111, -1.1302777777778",Paris,,"48.856577777778, 2.3518277777778"
Anna-Eva Bergman,1909-05-29T00:00:00Z,1987-07-24T00:00:00Z,Stockholm,Point(18.068611111 59.329444444),"59.329444444444, 18.068611111111",Grasse,,"43.658055555556, 6.9252777777778"
Mikoláš Aleš,1852-11-18T00:00:00Z,1913-07-10T00:00:00Z,Mirotice,Point(14.037008255 49.42916597),"49.429165970659, 14.037008255603",Prague,,"50.088611111111, 14.421388888889"
Consuelo de Saint-Exupéry,1901-04-10T00:00:00Z,1979-05-28T00:00:00Z,Armenia,Point(-89.5 13.74444444),"13.74444444, -89.5",Grasse,,"43.658055555556, 6.9252777777778"
Consuelo de Saint-Exupéry,1901-04-10T00:00:00Z,1979-05-28T00:00:00Z,Armenia,Point(-89.5 13.74444444),"13.75, -89.5",Grasse,,"43.658055555556, 6.9252777777778"
József Egry,1883-03-15T00:00:00Z,1951-06-19T00:00:00Z,Zalaújlak,Point(17.07919 46.55838),"46.55838, 17.07919",Badacsonytomaj,,"46.809166666667, 17.513611111111"
Charley Toorop,1891-03-24T00:00:00Z,1955-11-05T00:00:00Z,Katwijk,Point(4.4153 52.2008),"52.2008, 4.4153",Bergen,,"52.6703, 4.7054"
Saul Steinberg,1914-06-15T00:00:00Z,1999-05-12T00:00:00Z,Râmnicu Sărat,Point(27.06 45.38),"45.38, 27.06",New York,,"40.67, -73.94"
István Farkas,1887-10-20T00:00:00Z,1944-01-01T00:00:00Z,Budapest,Point(19.040833333 47.498333333),"47.498333333333, 19.040833333333",camp d'extermination de Birkenau,,"50.03777778, 19.175"
Hàm Nghi,1872-07-22T00:00:00Z,1943-01-14T00:00:00Z,Hué,Point(107.583333333 16.466666666),"16.466666666667, 107.58333333333",Algérie,,"28, 2"
Ruth Smith,1913-04-05T00:00:00Z,1958-05-26T00:00:00Z,Vágur,Point(-6.809722222 61.473055555),"61.473055555556, -6.8097222222222",Vágur,,"61.473055555556, -6.8097222222222"
Charley Toorop,1891-03-24T00:00:00Z,1955-11-06T00:00:00Z,Katwijk,Point(4.4153 52.2008),"52.2008, 4.4153",Bergen,,"52.6703, 4.7054"
Milena Pavlović-Barili,1909-11-05T00:00:00Z,1945-03-06T00:00:00Z,Požarevac,Point(21.189722222 44.62),"44.62, 21.189722222222",New York,,"40.67, -73.94"
Boris Grigoriev,1886-07-23T00:00:00Z,1939-02-07T00:00:00Z,Moscou,Point(37.617777777 55.755833333),"55.755833333333, 37.617777777778",France,,"47, 2"
Charles de Belgique,1903-10-10T00:00:00Z,1983-06-01T00:00:00Z,Bruxelles,Point(4.3525 50.846666666),"50.846666666667, 4.3525",Ostende,,"51.233333333333, 2.9333333333333"
Sinowi Schenderowitsch Tolkatschow,1903-01-01T00:00:00Z,1977-01-01T00:00:00Z,Gouvernement de Minsk,Point(27.561837 53.902246),"53.902246, 27.561837",Kiev,,"50.45, 30.523611111111"
Martín Rico,1833-11-12T00:00:00Z,1908-04-13T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),"40.418888888889, -3.6919444444444",Venise,,"45.439722222222, 12.331944444444"
Manuel Quiroga Losada,1892-04-15T00:00:00Z,1961-04-19T00:00:00Z,Pontevedra,Point(-8.6475 42.433611111),"42.433611111111, -8.6475",Pontevedra,,"42.433611111111, -8.6475"
Friedrich Kaulbach,1822-07-08T00:00:00Z,1903-09-17T00:00:00Z,Bad Arolsen,Point(9.016666666 51.377777777),"51.377777777778, 9.0166666666667",Hanovre,,"52.374444444444, 9.7386111111111"
César,1921-01-01T00:00:00Z,1998-12-06T00:00:00Z,Marseille,Point(5.376388888 43.296666666),"43.296666666667, 5.3763888888889",Paris,,"48.856577777778, 2.3518277777778"
Albert Besnard,1849-06-02T00:00:00Z,1934-12-04T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Helen Allingham,1848-09-26T00:00:00Z,1926-09-28T00:00:00Z,Derbyshire,Point(-1.6 53.133333333),"53.133333333333, -1.6",Haslemere,,"51.0899, -0.7117"
Friedrich August von Kaulbach,1850-06-02T00:00:00Z,1920-07-26T00:00:00Z,Munich,Point(11.566666666 48.133333333),"48.133333333333, 11.566666666667",Ohlstadt,,"47.633333333333, 11.233333333333"
Friedrich Kaulbach,1822-07-08T00:00:00Z,1903-09-06T00:00:00Z,Bad Arolsen,Point(9.016666666 51.377777777),"51.377777777778, 9.0166666666667",Hanovre,,"52.374444444444, 9.7386111111111"
Constantin Somov,1869-11-30T00:00:00Z,1939-05-06T00:00:00Z,Saint-Pétersbourg,Point(30.316666666 59.95),"59.95, 30.316666666667",Paris,,"48.856577777778, 2.3518277777778"
José Luis Gutiérrez Solana,1886-02-28T00:00:00Z,1945-06-26T00:00:00Z,Madrid,Point(-3.691944444 40.418888888),"40.418888888889, -3.6919444444444",Madrid,,"40.418888888889, -3.6919444444444"
Marianne Stokes,1855-01-19T00:00:00Z,1927-08-13T00:00:00Z,Graz,Point(15.433333333 47.066666666),"47.066666666667, 15.433333333333",Londres,,"51.507222222222, -0.1275"
